invoice_no,invoice_date,party_name,party_gstin,gross_amount,tax_amount,net_amount,currency,pg_reference
INV-2026-00182,2026-08-09,KIARA GUPTA ENTERPRISES,29DEJUB8252Z1Z6,2053.0,313.17,1739.83,INR,order_hFKETWXMky2UxG
INV-2026-00183,2026-08-10,VIHAAN KAPOOR ENTERPRISES,19GOGEQ7258G1Z8,15548.0,2371.73,13176.27,INR,order_SEuhOgM3tBMsKJ
INV-2026-00184,2026-08-10,Myra Nair LLP,27SXIZB2503W1Z2,389792.0,59459.8,330332.2,USD,order_ZOC7Ka8O6uTT7J
INV-2026-00185,2026-08-10,Diya Jain Pvt Ltd,19YYHJO1021N1Z1,376761.0,57472.02,319288.98,INR,order_cDwJ7eTG1UrGGL
INV-2026-00186,2026-08-10,Anika Sharma Industries,27XKEWE2594F1Z3,323731.2,49382.73,274348.47,USD,order_W9PfCYxNBahhN4
INV-2026-00187,2026-08-10,DIYA PATEL LLP,19DHNMT5784U1Z9,186951.0,28517.95,158433.05,INR,order_YQ6TmA65MPh3FP
INV-2026-00188,2026-08-11,Arjun Mehta Pvt Ltd,27ZRPDB2373L1Z8,179280.5,27347.87,151932.63,EUR,order_rhyJcOOB4vi2Ca
INV-2026-00189,2026-08-11,ANIKA SHARMA ENTERPRISES,29NCTQC4689I1Z7,24976.0,3809.9,21166.1,INR,order_51YaRgBbmHmGqD
INV-2026-00190,2026-08-11,MYRA SINGH LLP,36BDGRW4586G1Z6,35592.0,5429.29,30162.71,INR,order_rSP6PP5NEXunJ5
INV-2026-00191,2026-08-12,VIVAAN SINGH,24MQVPJ7663Z1Z3,473656.0,72252.61,401403.39,INR,order_tTThRRk7GWSkhW
INV-2026-00192,2026-08-13,DIYA RAO,19UIHJE5946T1Z7,4178.0,637.32,3540.68,INR,order_JXRIhIlMJdJlD3
INV-2026-00193,2026-08-13,Myra Mehta Enterprises,27IKCYS8254X1Z5,4705.0,717.71,3987.29,INR,order_Sujc4DZVDM4bnj
INV-2026-00194,2026-08-13,Arjun Iyer Pvt Ltd,07XLPKB9877N1Z9,49453.0,7543.68,41909.32,INR,order_uJ7MzkCWcnanoM
INV-2026-00195,2026-08-14,MYRA SHARMA LLP,29FRFNI4592H1Z6,2328.0,355.12,1972.88,INR,order_YaXRvj7uff0LYT
INV-2026-00196,2026-08-14,KIARA MEHTA,07YQIIQ6553L1Z5,18416.0,2809.22,15606.78,INR,order_dvEGhSQHsMX6Y6
INV-2026-00197,2026-08-14,ARJUN KAPOOR ENTERPRISES,19MNGYD0011V1Z8,36234.0,5527.22,30706.78,INR,order_9Ue591EuCpzcTx
INV-2026-00198,2026-08-15,Arjun Gupta Solutions,27AUXHG9882U1Z7,24070.0,3671.69,20398.31,INR,order_7TDwnEdwcm4wDC
INV-2026-00199,2026-08-17,Dev Reddy Pvt Ltd,29SNKKO2269V1Z5,10769.0,1642.73,9126.27,INR,order_pQvhxKkZssTKu3
INV-2026-00200,2026-08-15,Reyansh Singh Pvt Ltd,27WXPOX7811O1Z9,19572.0,2985.56,16586.44,INR,order_FdhpePUW5m3lvf
INV-2026-00201,2026-08-16,Sara Nair Technologies,07KMVPT4179T1Z1,95012.0,14493.36,80518.64,INR,order_vgX5TFIuACXNlO
INV-2026-00202,2026-08-16,Dev Singh LLP,36XIBLR9341H1Z7,4401.0,671.34,3729.66,INR,
INV-2026-00203,2026-08-16,Myra Iyer Pvt Ltd,19CJKCH1822F1Z9,2453.0,374.19,2078.81,INR,order_NcSWd3tsd73P2y
INV-2026-00204,2026-08-17,Ananya Rao Industries,24TGTZQ5482G1Z3,2086.0,318.2,1767.8,INR,order_T5kWEh3SKumPuW
INV-2026-00205,2026-08-18,Ishani Kapoor Pvt Ltd,19WXPVC1591R1Z7,3138.0,478.68,2659.32,INR,order_dnSa5O5ZDNwU3Y
INV-2026-00206,2026-08-17,Vihaan Sharma Enterprises,06EJNZS5568Y1Z0,1130.0,172.37,957.63,INR,order_lbXZGuJOWEPGIC
INV-2026-00207,2026-08-17,Reyansh Reddy Technologies,24CVUFU7459B1Z9,1583.0,241.47,1341.53,INR,order_3Ha6QAA2RA6DVv
INV-2026-00208,2026-08-17,REYANSH REDDY LLP,19QZBKA0077P1Z6,286203.0,43658.08,242544.92,INR,order_QdNuuIxp07LjfP
INV-2026-00209,2026-08-18,Diya Rao Technologies,29JKPVT3609G1Z2,23546.0,3591.76,19954.24,INR,order_rDv7p1heEJQjY6
INV-2026-00210,2026-08-18,Ishani Sharma Technologies,27WTDSV4192O1Z6,37605.0,5736.36,31868.64,INR,order_lVpDp2OihJc1y1
INV-2026-00211,2026-08-19,Ishani Jain Pvt Ltd,19IEOOP7897Z1Z9,7743.0,1181.14,6561.86,INR,order_wyL82Xa1yZ5bhG
INV-2026-00212,2026-08-18,Sara Singh Pvt Ltd,29JXXWC2850P1Z5,2400.0,366.1,2033.9,INR,order_vOpsLDhepHETw4
INV-2026-00213,2026-08-22,Dev Reddy Solutions,24XEAUN1109H1Z4,37225.0,5678.39,31546.61,INR,order_V1Za1CdGMEBdqi
INV-2026-00214,2026-08-19,Reyansh Iyer Enterprises,33JVNEO4845E1Z8,256921.6,39191.43,217730.17,USD,order_ETnXjsNNhPrl4N
INV-2026-00215,2026-08-19,Myra Patel LLP,29KTCEN5586O1Z2,8996.0,1372.27,7623.73,INR,order_Fyltn3Wd9GV98g
INV-2026-00216,2026-08-19,KABIR CHAUHAN LLP,07KADIZ6307V1Z2,68352.0,10426.58,57925.42,INR,order_RG9vHngYolsZ7L
INV-2026-00217,2026-08-21,Vivaan Bose LLP,24MSHCO9145T1Z2,2989.0,455.95,2533.05,INR,order_wCP2klyuj9Bvt9
INV-2026-00218,2026-08-20,Vivaan Singh Solutions,07MTWEB5865R1Z9,2307.0,351.92,1955.08,INR,order_di0Ckv2LWNLk81
INV-2026-00219,2026-08-21,Vihaan Nair LLP,36XERCR8373P1Z9,3824.0,583.32,3240.68,INR,order_CsMBm2sXQ46S49
INV-2026-00220,2026-08-22,Aarav Bose Solutions,36FJUDB3015Y1Z1,2181.0,332.69,1848.31,INR,order_1iwWKaqhAhdBwK
INV-2026-00221,2026-08-21,Diya Nair Pvt Ltd,19HPXOQ7503G1Z8,244691.2,37325.78,207365.42,USD,order_OcAm3dmYuU4dEX
INV-2026-00222,2026-08-21,Ananya Reddy Enterprises,06KUWOE8256V1Z8,1534.0,234.0,1300.0,INR,
INV-2026-00223,2026-08-21,Arjun Singh Technologies,24GNOTK8959Y1Z6,350438.4,53456.71,296981.69,USD,order_LlRFOqRKKKZebT
INV-2026-00224,2026-08-23,Reyansh Jain Solutions,33ACJKH2585A1Z1,486478.0,74208.51,412269.49,INR,order_WdXdLAgdd0yMz1
INV-2026-00225,2026-08-22,Ishani Singh Solutions,33AUDLS5248L1Z6,4918.0,750.2,4167.8,INR,
INV-2026-00226,2026-08-23,Dev Das Industries,07XSFSV1995E1Z0,330053.5,50347.14,279706.36,EUR,order_nbSM1W5UYI75r9
INV-2026-00227,2026-08-23,Ishani Patel Solutions,24YYKTD1761M1Z1,391412.5,59706.99,331705.51,EUR,order_2x8FS4ELfm7ISc
INV-2026-00228,2026-08-24,Anika Jain Pvt Ltd,07UFLDE9553Y1Z3,3787.0,577.68,3209.32,INR,order_dgw6Sp3laOtrrL
INV-2026-00229,2026-08-24,Dev Patel LLP,27SOTIE2807Y1Z0,133536.0,20369.9,113166.1,USD,order_aR4ITIKvYo7Cza
INV-2026-00230,2026-08-24,Sara Kapoor LLP,07EYJHW1773R1Z4,18339.0,2797.47,15541.53,INR,order_vMIieAxeeWshoL
INV-2026-00231,2026-08-25,Kiara Mehta Pvt Ltd,19YUSDB4028V1Z9,378958.0,57807.15,321150.85,INR,order_be7eQxt4YlalJL
INV-2026-00232,2026-08-25,Sara Singh Industries,19YMFKC1043Q1Z7,2810.0,428.64,2381.36,INR,order_gxgaZ5iVq6LXaX
INV-2026-00233,2026-08-29,Myra Bose Industries,29YDORI0673D1Z9,3295.0,502.63,2792.37,INR,order_BTq0Zf2pCLxb0l
INV-2026-00234,2026-08-26,VIVAAN KAPOOR INDUSTRIES,24AQRUJ6868Y1Z6,15579.0,2376.46,13202.54,INR,order_2KTU51gJXYqmUR
INV-2026-00235,2026-08-26,Anika Singh Industries,33NQGGH2539H1Z5,341394.0,52077.05,289316.95,INR,order_wIv9IvCtoStU6Q
INV-2026-00236,2026-08-26,Rohan Patel LLP,33OCAWX1160D1Z6,1260882.0,192337.93,1068544.07,INR,order_Ilb04bQxWg6soY
INV-2026-00237,2026-08-26,KABIR JAIN,19JAOCV1631M1Z0,22933.0,3498.25,19434.75,INR,order_qgctUlXQWI2yKq
INV-2026-00238,2026-08-27,Vivaan Iyer LLP,19NKWRS9665P1Z1,37691.0,5749.47,31941.53,INR,order_Fx84Vq78CizRUs
INV-2026-00239,2026-08-27,AADHYA SHARMA ENTERPRISES,29WULUU4164S1Z3,77854.0,11876.03,65977.97,INR,order_lx50j9PieaSEB9
INV-2026-00240,2026-08-27,Reyansh Patel Pvt Ltd,29RVIZW0056I1Z4,114899.2,17527.0,97372.2,USD,order_RZS92nFX26N8Rq
INV-2026-00241,2026-08-27,Arjun Kapoor Industries,33MZKEG1161V1Z2,2000.0,305.08,1694.92,INR,order_TUv4KXWs0Qc8Sk
INV-2026-00242,2026-08-27,DIYA NAIR TECHNOLOGIES,27TTRDF9567W1Z6,4750.0,724.58,4025.42,INR,order_TUv8ffAA045x6X
INV-2026-00243,2026-08-27,Ananya Singh Technologies,33LDQDJ9352V1Z2,370000.0,56440.68,313559.32,INR,order_TUvDQqXHi77znS
INV-2026-00244,2026-08-27,Sara Nair LLP,33CHHET4704J1Z7,1500.0,228.81,1271.19,INR,
INV-2026-00245,2026-08-28,Myra Das Solutions,24YWOYX6909K1Z9,499.0,76.12,422.88,INR,order_TUvRVe8OB0wXE9
